210	367565	5325	280069	257293
211	368690	5348	281656	258081
212	370132	5375	283182	259090
213	371631	5405	284833	260140
214	373151	5440	286631	261204
215	374592	5460	288316	262212
216	375870	5477	289912	263107
217	377073	5500	291365	263949
218	378266	5524	292860	264784
219	379738	5555	294391	265815
220	381275	5577	295873	266890
221	382959	5593	297449	268069
222	384559	5608	299229	269189
223	386086	5623	300738	270258
224	387295	5646	302298	271104
225	388569	5660	303972	271996
226	390206	5681	305599	273142
227	391586	5699	307141	274108
228	393131	5723	308845	275190
229	394827	5747	310532	276377
230	396413	5761	312065	277487
231	397507	5780	313563	278253
232	398815	5803	315107	279168
233	400251	5818	316600	280174
234	401586	5838	318123	281108
235	403079	5861	319733	282153
236	404760	5886	321281	283330
237	406364	5905	322703	284453
238	407684	5923	324145	285377
239	409252	5941	325940	286474
240	410988	5966	327901	287690
241	412647	5983	329787	288851
242	414164	6004	331697	289913
243	416006	6021	333588	291202
244	417475	6036	335027	292230
245	418764	6049	336568	293133
246	420238	6067	338145	294165
247	421921	6092	339768	295343
248	423620	6108	341416	296532
249	425353	6127	343131	297745
250	427198	6140	344868	299037
251	428965	6159	346387	300273
252	430496	6173	347849	301345
253	432333	6194	349542	302631
254	434472	6215	351146	304128
255	436684	6254	352895	305677
256	438795	6275	354788	307154
257	441159	6305	356722	308809
258	443434	6322	358431	310402
259	445281	6350	360352	311695
260	447341	6388	362428	313137
261	449760	6416	364611	314830
262	451990	6448	366877	316391
263	454146	6487	369179	317900
264	456438	6524	371453	319505
265	458711	6544	373676	321096
266	460619	6580	375885	322431
267	462407	6609	378172	323683
268	464932	6644	380711	325450
269	467225	6675	383224	327055
270	469423	6713	385786	328594
271	471739	6748	388379	330215
272	473991	6772	390951	331792
273	475789	6807	393408	333050
274	477545	6838	395960	334279
275	479743	6874	398623	335818
276	481945	6906	401194	337359
277	484104	6930	405966	338871
278	485965	6967	410452	340173
279	487849	6986	414318	341492
280	489178	7020	417503	342423
281	490533	7052	420896	343371
282	492332	7089	423845	344630
283	494209	7129	426729	345944
284	495841	7156	429351	347087
285	496975	7192	431590	347880
286	498293	7217	433614	348803
287	499560	7242	435601	349690
288	500713	7280	437527	350497
289	502183	7312	439694	351526
290	503501	7329	441929	352449
291	504868	7359	444345	353406
292	506102	7378	446690	354269
293	507265	7398	448803	355083
294	508099	7428	450488	355667
295	509148	7452	451961	356402
296	510080	7479	453318	357054
297	511261	7509	454563	357881
298	512496	7531	456070	358745
299	513510	7559	457459	359455
300	514500	7576	458656	360148
301	515184	7599	459620	360627
302	516019	7626	460598	361211
303	516929	7650	461515	361848
304	517920	7670	462459	362542
305	518898	7687	463480	363227
306	519905	7718	464446	363931
307	520690	7734	465279	364481
308	521382	7756	466064	364965
309	522453	7781	466801	365715
310	523302	7803	467718	366309
311	524020	7819	468681	366812
312	524910	7833	469522	367435
313	525723	7849	470405	368004
314	526485	7862	471123	368537
315	527063	7883	471756	368942
316	527632	7906	472437	369340
317	528329	7922	473173	369828
318	529031	7942	473855	370320
319	529687	7950	474472	370779
320	530271	7966	475074	371188
321	530890	7981	475561	371621
322	531326	8003	475899	371926
323	531799	8023	476413	372257
324	532401	8041	476979	372679
325	532916	8055	477426	373039
326	533444	8072	477935	373409
327	533953	8087	478546	373765
328	534407	8094	478960	374083
329	534770	8111	479297	374337
330	535139	8127	479744	374595
331	535582	8137	480216	374905
332	536107	8149	480728	375273
333	536545	8162	481306	375579
334	537030	8175	481917	375919
335	537465	8182	482424	376223
336	537770	8190	482841	376437
337	538062	8205	483372	376641
338	538378	8221	483931	376863
339	538765	8229	484573	377133
340	539153	8239	485290	377405
341	539531	8248	485971	377670
342	539975	8253	486393	377980
343	540266	8266	486767	378184
344	540592	8274	487229	378412
345	541038	8285	487870	378725
346	541434	8298	488621	379002
347	541877	8314	489254	379312
348	542268	8329	489932	379586
349	542674	8337	490468	379870
350	543024	8342	490892	380115
351	543351	8349	491367	380344
352	543717	8356	492059	380600
353	544116	8374	492887	380879
354	544544	8379	493798	381179
355	544954	8384	494755	381466
356	545424	8395	495498	381795
357	545831	8400	496107	382080
358	546216	8408	496924	382349
359	546801	8416	497797	382759
360	547316	8423	498391	383119
361	547930	8428	499627	383549
362	548549	8435	500468	383982
363	549184	8441	501144	384427
364	549724	8451	501966	384805
365	550330	8462	503003	385229
366	551175	8476	504120	385820
367	552087	8489	505349	386459
368	553105	8496	506613	387171
369	554156	8502	507920	387907
370	555222	8515	509172	388653
371	556236	8527	510310	389363
372	557395	8545	511695	390174
373	559168	8571	513127	391416
374	560887	8597	514479	392619
375	562752	8608	515989	393924
376	564939	8624	517223	395455
377	566838	8642	518841	396785
378	568706	8668	520418	398092
379	570878	8690	522105	399613
380	573687	8720	523859	401579
381	577241	8738	525694	404067
382	580808	8763	527609	406564
383	584395	8797	529594	409074
384	588132	8830	531651	411690
385	591806	8869	533622	414262
386	595714	8904	535641	416998
387	600895	8949	537718	420624
388	605937	8994	539880	424154
389	611295	9046	542099	427904
390	617764	9105	544938	432433
391	624594	9155	547411	437214
392	630277	9213	549775	441192
393	637364	9266	552482	446153
394	644439	9318	555414	451105
395	651652	9384	558383	456154
396	659278	9447	561639	461493
397	666132	9521	565030	466290
398	673594	9584	568541	471514
399	678937	9661	572378	475254
400	684756	9739	576590	479327
401	691957	9822	581113	484368
402	697985	9891	585966	488587
403	703170	9987	591299	492217
404	707362	10081	597214	495151
405	711779	10182	602908	498243
406	715252	10283	608815	500674
407	718950	10385	614936	503263
408	723221	10497	621300	506253
409	727780	10588	628111	509444
410	732060	10683	635183	512440
411	736074	10781	642449	515250
412	739703	10869	647674	517790
